Unnamed: 0,user_id,item_id,timestamp,rating,buy,time_diff
0,1,8954,2023-11-01 05:46:12.793,1,,
1,1,8954,2023-11-01 15:57:12.793,2,,0 days 10:11:00
2,1,10105,2023-11-01 01:31:12.793,1,,
3,1,10370,2023-11-01 00:48:12.793,1,,
4,1,10370,2023-11-02 06:53:12.793,2,,1 days 06:05:00
5,1,10457,2023-10-31 19:49:12.793,1,,
6,1,10470,2023-10-31 16:18:12.793,1,,
7,1,10470,2023-11-01 05:34:12.793,2,,0 days 13:16:00
8,1,10470,2023-11-01 13:27:12.793,3,,0 days 07:53:00
9,1,10483,2023-11-01 09:54:12.793,1,,
10,2,8599,2023-10-31 19:39:12.793,1,,
11,2,8599,2023-11-01 22:06:12.793,2,,1 days 02:27:00
12,2,9434,2023-11-01 12:28:12.793,1,,
13,2,9492,2023-10-31 20:03:12.793,1,,
14,2,9492,2023-10-31 23:35:12.793,2,,0 days 03:32:00
15,2,9492,2023-11-01 00:00:12.793,4,,0 days 00:25:00
16,2,9492,2023-11-01 04:04:12.793,5,,0 days 04:04:00
17,2,9492,2023-11-01 06:11:12.793,6,,0 days 02:07:00
18,2,10051,2023-11-02 05:50:12.793,1,,
19,2,10073,2023-11-01 19:10:12.793,1,,
20,3,8539,2023-11-01 07:29:12.793,1,,
21,3,8539,2023-11-01 08:11:12.793,3,,0 days 00:42:00
22,3,8886,2023-10-31 12:53:12.793,1,,
23,3,8886,2023-11-01 02:56:12.793,2,,0 days 14:03:00
24,3,8905,2023-10-31 17:04:12.793,1,,
25,3,9454,2023-10-31 22:51:12.793,1,,
26,3,9454,2023-11-01 07:32:12.793,2,,0 days 08:41:00
27,3,10260,2023-10-31 09:45:12.793,1,,
28,3,10260,2023-11-01 18:29:12.793,2,,1 days 08:44:00
29,3,10260,2023-11-02 03:50:12.793,3,,0 days 09:21:00
30,4,8569,2023-11-01 06:35:12.793,1,,
31,4,8569,2023-11-01 06:42:12.793,3,,0 days 00:07:00
32,4,9654,2023-10-31 17:22:12.793,1,,
33,4,9929,2023-11-01 03:51:12.793,1,,
34,4,9929,2023-11-01 07:35:12.793,2,,0 days 03:44:00
35,4,10083,2023-11-01 05:46:12.793,1,,
36,4,10083,2023-11-01 07:02:12.793,2,,0 days 01:16:00
37,4,10083,2023-11-01 21:15:12.793,3,,0 days 14:13:00
38,4,10575,2023-10-31 09:34:12.793,1,,
39,4,10575,2023-11-01 23:43:12.793,2,,1 days 14:09:00
40,5,9508,2023-11-01 14:07:12.793,1,,
